critic_loss,duration,episode,episode_reward,step
-5598.393898292824,1.0259981155395508,516.0,108.0,39117
-5778.471094955633,0.7630021572113037,517.0,81.0,39198
-5642.707275390625,0.5690004825592041,518.0,60.0,39258
-5646.5421703441725,0.7289998531341553,519.0,74.0,39332
-5913.090603298611,0.437000036239624,520.0,45.0,39377
-5823.493955078125,0.4949977397918701,521.0,50.0,39427
-5585.3531174150485,1.01981782913208,522.0,103.0,39530
-6005.300236936476,1.17722749710083,523.0,122.0,39652
-5796.308913658405,0.5640006065368652,524.0,58.0,39710
-5740.2378957648025,0.5339996814727783,525.0,57.0,39767
-6075.138130519701,0.4330024719238281,526.0,46.0,39813
-6212.643443714489,0.20999979972839355,527.0,22.0,39835
-6351.740082611909,0.696000337600708,528.0,74.0,39909
-6177.9017526726975,0.3599982261657715,529.0,38.0,39947
-6517.9345703125,1.0240013599395752,530.0,64.0,40012
-6293.201185071791,0.3509995937347412,531.0,37.0,40049
-5984.629283787049,0.9399995803833008,532.0,97.0,40146
-6337.640811011905,0.8010013103485107,533.0,84.0,40230
-6400.316080729167,0.6909997463226318,534.0,72.0,40302
-6257.563977205301,0.7680003643035889,535.0,79.0,40381
-6656.349500868056,0.25699925422668457,536.0,27.0,40408
-6234.375176612367,0.44100165367126465,537.0,47.0,40455
-6177.092786634291,0.3540003299713135,538.0,37.0,40492
-6197.342135799632,0.7960000038146973,539.0,85.0,40577
-6223.350461269947,0.44500064849853516,540.0,47.0,40624
-6345.78284004407,0.382997989654541,541.0,39.0,40663
-6045.86599518532,0.4050016403198242,542.0,43.0,40706
-6255.800413269928,0.6499998569488525,543.0,69.0,40775
-6544.267402648926,0.6010005474090576,544.0,64.0,40839
-6455.4051357171475,1.1130023002624512,545.0,117.0,40956
-6662.649485518293,1.6749989986419678,546.0,123.0,41080
-6675.9828869047615,0.5900001525878906,547.0,63.0,41143
-6653.021276595745,0.9159982204437256,548.0,94.0,41237
-6581.585658482143,0.875,549.0,91.0,41328
-6666.882503255209,0.8470010757446289,550.0,90.0,41418
-6844.151635742188,0.3900001049041748,551.0,40.0,41458
-6769.703921110734,0.8821475505828857,552.0,92.0,41550
-6816.40533126028,0.7229998111724854,553.0,76.0,41626
-6866.363623903509,0.5819530487060547,554.0,57.0,41683
-7072.247930497086,1.826997995376587,555.0,193.0,41876
-7002.955336626838,0.32200145721435547,556.0,34.0,41910
-6992.055412879357,2.3229997158050537,557.0,208.0,42119
-6843.650251116072,0.3989989757537842,558.0,42.0,42161
-7442.613630022322,1.2470002174377441,559.0,133.0,42294
-7417.2398060581145,1.1030011177062988,560.0,114.0,42408
-6800.668330439815,0.265000581741333,561.0,27.0,42435
-7365.464612458882,0.4289989471435547,562.0,38.0,42473
-7069.863950376158,0.529000997543335,563.0,54.0,42527
-7679.488567483836,0.2709982395172119,564.0,29.0,42556
-7328.394712936047,0.8212897777557373,565.0,86.0,42642
-7699.858380353009,0.5180971622467041,566.0,54.0,42696
-7399.8909420657465,0.773104190826416,567.0,77.0,42773
-7640.8189486799565,0.27292966842651367,568.0,29.0,42802
-7537.358510785398,1.0694162845611572,569.0,113.0,42915
-7259.617625701122,0.7539975643157959,570.0,78.0,42993
-7409.049894205729,1.0217809677124023,571.0,60.0,43054
-7891.947860440341,0.5293595790863037,572.0,55.0,43109
-7614.8285603350905,0.7932724952697754,573.0,83.0,43192
-7713.0028255208335,0.730111837387085,574.0,75.0,43267
-7589.19722202846,0.5995125770568848,575.0,56.0,43323
-7393.737756529851,0.6390836238861084,576.0,67.0,43390
-7348.869027071221,0.41099977493286133,577.0,43.0,43433
-7859.184397299458,1.2070002555847168,578.0,127.0,43560
-7967.054917821344,0.5010025501251221,579.0,53.0,43613
-7849.5330466246,0.7529995441436768,580.0,78.0,43691
