#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
75.0,75,575.473864
51.0,51,575.704829
45.0,45,575.903821
54.0,54,576.144829
48.0,48,576.358809
42.0,42,576.556057
51.0,51,576.797057
60.0,60,577.075056
33.0,33,577.224057
46.0,46,577.435061
54.0,54,577.687056
80.0,80,578.049056
49.0,49,578.267056
43.0,43,578.463634
34.0,34,578.615633
52.0,52,578.952633
31.0,31,579.094633
48.0,48,579.308634
49.0,49,579.525638
53.0,53,579.763208
60.0,60,580.030208
41.0,41,580.220209
48.0,48,580.446208
59.0,59,580.709208
45.0,45,580.916208
39.0,39,581.099209
46.0,46,581.317211
51.0,51,581.559208
41.0,41,581.748208
31.0,31,581.89221
49.0,49,582.128208
54.0,54,582.374706
49.0,49,582.599706
45.0,45,582.796706
83.0,83,583.170708
43.0,43,583.483706
31.0,31,583.623706
32.0,32,583.768707
29.0,29,583.897708
50.0,50,584.120708
92.0,92,584.537709
93.0,93,584.953706
41.0,41,585.134708
45.0,45,585.352706
58.0,58,585.618707
39.0,39,585.801708
46.0,46,586.007708
35.0,35,586.164706
39.0,39,586.350708
49.0,49,586.577708
70.0,70,586.894708
55.0,55,587.152706
50.0,50,587.377708
42.0,42,587.568707
47.0,47,587.791707
34.0,34,587.960707
55.0,55,588.330439
43.0,43,588.528439
47.0,47,588.740439
45.0,45,588.938439
37.0,37,589.112439
36.0,36,589.276031
78.0,78,589.65503
69.0,69,589.975031
31.0,31,590.116031
39.0,39,590.306031
50.0,50,590.552033
44.0,44,590.749031
